Temperature;1;2;3;4;5;6;7;8
82,06;79,3340688;79,3187231;79,29094097;79,26698305;79,22265892;79,22111787;79,28062475;79,21772712
82,07;79,27017489;79,25450762;79,2190761;79,20023485;79,15618149;79,14721149;79,21611496;79,15201118
82,08;79,20610667;79,19013061;79,14689199;79,13317582;79,08966254;79,07281046;79,15134071;79,086264
82,09;79,14143463;79,12510125;79,07351397;79,06522484;79,02227162;78,99726011;79,08575845;79,01946243
82,1;79,07642642;79,05981095;78,99938895;78,99664545;78,95446548;78,92114237;79,01962526;78,95184079
82,11;79,01154894;78,99491205;78,92520008;78,9280593;78,88706074;78,84499552;78,95348472;78,88428163
82,12;78,94641;78,92977707;78,85052599;78,85940557;78,81954527;78,76845586;78,88716789;78,81670684
82,13;78,8810096;78,86440601;78,77536667;78,79068426;78,75191907;78,69152339;78,82067476;78,74911642
82,14;78,81478751;78,79818381;78,69915389;78,72171967;78,68378076;78,61346342;78,75370416;78,68097929
82,15;78,74828529;78,73157019;78,62236651;78,65251182;78,61539329;78,53455237;78,68666747;78,61251413
82,16;78,68212544;78,66495658;78,54548335;78,58315532;78,54688126;78,45558312;78,61964546;78,5440802
82,17;78,61575394;78,59808202;78,46817882;78,51348799;78,47807858;78,3762356;78,55225618;78,47545882
82,18;78,54917079;78,53094653;78,3904529;78,44350984;78,40898525;78,29650981;78,48449961;78,40664999
82,19;78,48184685;78,46323326;78,31188421;78,3728019;78,3395805;78,21576563;78,41609662;78,33741161
82,2;78,41431749;78,39533361;78,23251106;78,3018507;78,27017575;78,13425766;78,34736306;78,26777491
82,21;78,34694997;78,3276017;78,15286974;78,23115628;78,20084713;78,05232052;78,27871032;78,19791951
82,22;78,27935837;78,25960885;78,07279428;78,16027265;78,13115865;77,96990328;78,21001351;78,12779857
82,23;78,21154268;78,19135506;77,99228467;78,0891998;78,06111029;77,88700593;78,14127263;78,05741207
82,24;78,14306091;78,12244891;77,91059391;78,01764043;77,99066748;77,80344664;78,07231873;77,98653353
82,25;78,07418695;78,05337502;77,82827108;77,94567562;77,92012089;77,7193636;78,00327668;77,91553783
82,26;78,00551218;77,98452479;77,74589717;77,87339998;77,84933899;77,63486594;77,93410975;77,84472959
82,27;77,93680006;77,91532665;77,66288481;77,80071891;77,77812803;77,54966995;77,86435516;77,77360893
82,28;77,86805058;77,84578058;77,57923399;77,7276324;77,706488;77,46377563;77,79401292;77,70217586
82,29;77,79878443;77,77547656;77,49444033;77,65386341;77,63419745;77,37665923;77,72296549;77,63010232
82,3;77,72925684;77,7049116;77,40912952;77,57966871;77,56145016;77,28864809;77,65198415;77,55823965
82,31;77,65983507;77,63459516;77,32366549;77,50548753;77,48864751;77,20048417;77,58148028;77,48674406
82,32;77,59007714;77,56417931;77,23761407;77,43103606;77,41562339;77,11182561;77,51062383;77,41468614
82,33;77,51998306;77,49366406;77,15097526;77,35631429;77,34237781;77,0226724;77,43941479;77,34206589
82,34;77,44899879;77,42231629;77,063366;77,28061948;77,26855092;76,93208616;77,36722144;77,26886767
82,35;77,37764101;77,35063304;76,97485651;77,20439761;77,19455795;76,84056156;77,29480771;77,19538827
82,36;77,30640151;77,27923557;76,88566387;77,12837846;77,12075875;76,74890602;77,22265841;77,12164333
82,37;77,23493792;77,20763928;76,79576894;77,05235931;77,04695954;76,65661035;77,15036221;77,04766407
82,38;77,16325022;77,13584418;76,7051717;76,97634017;76,97316033;76,56367454;77,07791911;76,9734505
